lat,lng,desc,zip,title,timeStamp,twp,addr,e
40.143927,-75.1400212,ALBA RD & NORTH HILLS AVE; UPPER DUBLIN; 2016-04-06 @ 13:32:46-Station:STA88;,19090.0,Fire: GAS-ODOR/LEAK,2016-04-06 13:37:01,UPPER DUBLIN,ALBA RD & NORTH HILLS AVE,1
40.0870977,-75.1278274,TOWNSHIP LINE RD & OLD YORK RD; ABINGTON; 2016-07-07 @ 14:19:09;,19046.0,Traffic: DISABLED VEHICLE -,2016-07-07 14:22:03,ABINGTON,TOWNSHIP LINE RD & OLD YORK RD,1
40.4106035,-75.4736714,GERYVILLE PIKE & RT663;  UPPER HANOVER; Station 369; 2016-03-31 @ 13:27:36;,18073.0,EMS: ABDOMINAL PAINS,2016-03-31 13:32:00,UPPER HANOVER,GERYVILLE PIKE & RT663,1
40.0648034,-75.0968428,RT309 EXPY & S EASTON RD OVERPASS; CHELTENHAM; 2016-07-14 @ 08:04:02;,19012.0,Traffic: VEHICLE FIRE -,2016-07-14 08:07:02,CHELTENHAM,RT309 EXPY & S EASTON RD OVERPASS,1
40.2558411,-75.6283153,ADAMS ST & PROSPECT ST;  POTTSTOWN; Station 329; 2016-06-01 @ 11:00:03;,19464.0,EMS: HEMORRHAGING,2016-06-01 11:02:00,POTTSTOWN,ADAMS ST & PROSPECT ST,1
40.243186,-75.2659024,AILEEN DR;  MONTGOMERY; Station 345; 2016-06-23 @ 15:43:05;,19446.0,EMS: VEHICLE ACCIDENT,2016-06-23 15:47:01,MONTGOMERY,AILEEN DR,1
40.127614,-75.404582,TROOPER RD & BOULEVARD OF THE GENERALS; LOWER PROVIDENCE; 2015-12-14 @ 12:41:29;,19403.0,Traffic: VEHICLE ACCIDENT -,2015-12-14 12:47:02,LOWER PROVIDENCE,TROOPER RD & BOULEVARD OF THE GENERALS,1
40.245498,-75.6178413,ROSEDALE DR & BEECH ST; POTTSTOWN; 2015-12-17 @ 14:47:30;,19464.0,Traffic: VEHICLE ACCIDENT -,2015-12-17 14:52:02,POTTSTOWN,ROSEDALE DR & BEECH ST,1
40.1723141,-75.4927278,S COLLEGEVILLE RD & RT422 OVERPASS; UPPER PROVIDENCE; 2016-06-11 @ 16:33:39;,,Traffic: DISABLED VEHICLE -,2016-06-11 16:37:02,UPPER PROVIDENCE,S COLLEGEVILLE RD & RT422 OVERPASS,1
40.1685378,-75.4982005,BLACK ROCK RD & S TRAPPE RD;  UPPER PROVIDENCE; Station 325; 2016-07-28 @ 19:09:49;,19468.0,EMS: SUBJECT IN PAIN,2016-07-28 19:12:00,UPPER PROVIDENCE,BLACK ROCK RD & S TRAPPE RD,1
40.2605355,-75.3666079,MAIN ST & GODSHALL DR;  LOWER SALFORD; Station 344; 2016-08-09 @ 19:39:36;,19438.0,EMS: RESPIRATORY EMERGENCY,2016-08-09 19:42:00,LOWER SALFORD,MAIN ST & GODSHALL DR,1
40.1011006,-75.1507256,WOODLYN AVE & MT CARMEL AVE;  ABINGTON; Station 383; 2016-03-06 @ 15:43:22;,19038.0,EMS: UNKNOWN MEDICAL EMERGENCY,2016-03-06 15:47:00,ABINGTON,WOODLYN AVE & MT CARMEL AVE,1
40.114239,-75.338508,AIRY ST & ARCH ST; NORRISTOWN; 2016-06-15 @ 16:27:41;,19401.0,Traffic: VEHICLE ACCIDENT -,2016-06-15 16:32:01,NORRISTOWN,AIRY ST & ARCH ST,1
40.2518012,-75.3404837,WOOD HOLLOW DR & BAYBERRY CT;  TOWAMENCIN; Station 345B; 2016-04-13 @ 00:53:22;,19438.0,EMS: CARDIAC EMERGENCY,2016-04-13 00:57:00,TOWAMENCIN,WOOD HOLLOW DR & BAYBERRY CT,1
40.209755,-75.6209956,CEDARVILLE RD & ELLIS WOODS RD;  CHESTER COUNTY; Station 3A84; 2016-06-23 @ 20:17:40;,19465.0,EMS: SEIZURES,2016-06-23 20:22:00,CHESTER COUNTY,CEDARVILLE RD & ELLIS WOODS RD,1
40.1973269,-75.4845679,7TH AVE & LINDEN ST;  TRAPPE; Station 324; 2016-03-30 @ 16:47:22;,19426.0,EMS: RESPIRATORY EMERGENCY,2016-03-30 16:52:00,TRAPPE,7TH AVE & LINDEN ST,1
40.1578439,-75.2262431,TENNIS AVE & N SPRING GARDEN ST; AMBLER; 2016-06-07 @ 16:22:41;,19002.0,Traffic: VEHICLE ACCIDENT -,2016-06-07 16:27:01,AMBLER,TENNIS AVE & N SPRING GARDEN ST,1
40.2219657,-75.4140251,WENDY WAY & MICHELE AVE;  SKIPPACK; Station 336; 2016-06-12 @ 01:12:09;,19473.0,EMS: RESPIRATORY EMERGENCY,2016-06-12 01:17:01,SKIPPACK,WENDY WAY & MICHELE AVE,1
40.1220112,-75.2321088,JOSHUA RD & MILITIA HILL RD; WHITEMARSH; 2016-02-15 @ 18:57:50;,19034.0,Traffic: DISABLED VEHICLE -,2016-02-15 19:02:02,WHITEMARSH,JOSHUA RD & MILITIA HILL RD,1
40.0854072,-75.0974421,FOX CHASE RD & HENSEL ST; ROCKLEDGE; 2016-08-17 @ 21:06:51-Station:STA9;,19046.0,Fire: FIRE INVESTIGATION,2016-08-17 21:12:00,ROCKLEDGE,FOX CHASE RD & HENSEL ST,1
40.1294478,-75.3120097,NEW HOPE ST & SAW MILL CT; EAST NORRITON; 2016-05-06 @ 12:16:55-Station:STA61;,19401.0,Fire: FIRE ALARM,2016-05-06 12:22:00,EAST NORRITON,NEW HOPE ST & SAW MILL CT,1
40.0046941,-75.2422773,OLD LANCASTER RD & SYCAMORE AVE; LOWER MERION; 2016-01-04 @ 08:33:36;,19004.0,Traffic: VEHICLE ACCIDENT -,2016-01-04 08:37:00,LOWER MERION,OLD LANCASTER RD & SYCAMORE AVE,1
40.2590937,-75.3128996,WELSH RD & VERNON CT; HATFIELD TOWNSHIP; 2015-12-23 @ 15:15:59;,19446.0,Traffic: VEHICLE ACCIDENT -,2015-12-23 15:21:00,HATFIELD TOWNSHIP,WELSH RD & VERNON CT,1
40.0532356,-75.122129,NEW SECOND ST & CHELTENHAM AVE;  CHELTENHAM; Station 358; 2016-04-18 @ 06:41:54;,19027.0,EMS: CVA/STROKE,2016-04-18 06:47:00,CHELTENHAM,NEW SECOND ST & CHELTENHAM AVE,1
40.0986836,-75.1421767,MT CARMEL AVE & HIGHLAND AVE; ABINGTON; 2016-03-26 @ 15:28:33;,19038.0,Traffic: VEHICLE ACCIDENT -,2016-03-26 15:32:01,ABINGTON,MT CARMEL AVE & HIGHLAND AVE,1
40.1711685,-75.2408984,ALBEMARLE DR & NOTTOWAY DR;  LOWER GWYNEDD; Station 351; 2016-03-17 @ 18:05:23;,19422.0,EMS: FALL VICTIM,2016-03-17 18:07:00,LOWER GWYNEDD,ALBEMARLE DR & NOTTOWAY DR,1
40.1330287,-75.3508942,CIRCLE DR & SERVICE ST; NORRISTOWN; 2016-05-19 @ 12:34:26-Station:STA27;,19403.0,Fire: FIRE ALARM,2016-05-19 12:37:01,NORRISTOWN,CIRCLE DR & SERVICE ST,1
40.1198332,-75.1253492,CHARTER CIR & DEAD END;  ABINGTON; Station 382; 2016-08-15 @ 03:15:30;,,EMS: DIZZINESS,2016-08-15 03:17:01,ABINGTON,CHARTER CIR & DEAD END,1
40.1251671,-75.0629091,HUNTINGDON PIKE & RED LION RD; LOWER MORELAND; 2016-03-15 @ 15:16:15;,19006.0,Traffic: VEHICLE ACCIDENT -,2016-03-15 15:21:00,LOWER MORELAND,HUNTINGDON PIKE & RED LION RD,1
40.248921,-75.2819511,W 7TH ST & MAPLE AVE; LANSDALE; 2016-02-29 @ 12:55:41;,19446.0,Traffic: VEHICLE ACCIDENT -,2016-02-29 12:57:01,LANSDALE,W 7TH ST & MAPLE AVE,1
40.1196107,-75.2156064,CHURCH RD & BETHLEHEM PIKE; WHITEMARSH; 2016-01-26 @ 20:19:10;,19031.0,Traffic: DISABLED VEHICLE -,2016-01-26 20:22:00,WHITEMARSH,CHURCH RD & BETHLEHEM PIKE,1
40.1016118,-75.1940266,RAMP PAPER MILL RD TO RT309  & PAPER MILL RD; SPRINGFIELD; 2016-06-27 @ 14:56:13;,,Traffic: DISABLED VEHICLE -,2016-06-27 15:01:01,SPRINGFIELD,RAMP PAPER MILL RD TO RT309  & PAPER MILL RD,1
40.01339,-75.265595,MONTGOMERY AVE & BRYN MAWR AVE;  LOWER MERION; Station 313; 2016-08-22 @ 19:12:46;,19072.0,EMS: HEAD INJURY,2016-08-22 19:17:00,LOWER MERION,MONTGOMERY AVE & BRYN MAWR AVE,1
40.2594529,-75.5851027,N PLEASANT VIEW RD & N SANATOGA RD; LOWER POTTSGROVE; 2016-01-09 @ 18:03:35;,19464.0,Traffic: DISABLED VEHICLE -,2016-01-09 18:07:01,LOWER POTTSGROVE,N PLEASANT VIEW RD & N SANATOGA RD,1
40.2124322,-75.2259636,BETHLEHEM PIKE & PARK DR; MONTGOMERY; 2016-07-05 @ 15:01:27;,19454.0,Traffic: VEHICLE ACCIDENT -,2016-07-05 15:06:02,MONTGOMERY,BETHLEHEM PIKE & PARK DR,1
40.1895305,-75.1357017,MAPLE AVE & EASTON RD; HORSHAM; 2016-07-29 @ 10:08:46;,19044.0,Traffic: DISABLED VEHICLE -,2016-07-29 10:12:01,HORSHAM,MAPLE AVE & EASTON RD,1
40.1155462,-75.0534312,RED LION RD & HIGH RD; LOWER MORELAND; 2015-12-17 @ 01:49:51;,19006.0,Traffic: VEHICLE ACCIDENT -,2015-12-17 01:52:02,LOWER MORELAND,RED LION RD & HIGH RD,1
40.1506883,-75.3947395,BARRY AVE & DANA DR;  LOWER PROVIDENCE; Station 322; 2016-02-20 @ 10:51:57;,19403.0,EMS: CARDIAC EMERGENCY,2016-02-20 10:57:01,LOWER PROVIDENCE,BARRY AVE & DANA DR,1
40.1410457,-75.1402304,FITZWATERTOWN RD & ROSSITER AVE;  ABINGTON; Station 381; 2016-06-10 @ 17:27:59;,19090.0,EMS: FALL VICTIM,2016-06-10 17:32:01,ABINGTON,FITZWATERTOWN RD & ROSSITER AVE,1
40.0817976,-75.3075159,10TH AVE & FREEDLEY ST; CONSHOHOCKEN; 2016-01-27 @ 01:31:45-Station:STA35;,19428.0,Fire: FIRE ALARM,2016-01-27 01:36:00,CONSHOHOCKEN,10TH AVE & FREEDLEY ST,1
40.1414828,-75.117142,MORELAND RD & EASTON RD;  ABINGTON; Station 381; 2016-08-23 @ 16:44:49;,19090.0,EMS: HEAD INJURY,2016-08-23 16:47:00,ABINGTON,MORELAND RD & EASTON RD,1
40.0921365,-75.1620346,EASTON RD & LIMEKILN PIKE;  CHELTENHAM; Station 358A; 2016-04-19 @ 07:48:51;,19095.0,EMS: BACK PAINS/INJURY,2016-04-19 07:52:00,CHELTENHAM,EASTON RD & LIMEKILN PIKE,1
40.2101006,-75.2758214,MAIN ST & E MONTGOMERY AVE;  NORTH WALES; Station 345B; 2016-04-30 @ 23:58:14;,19454.0,EMS: ABDOMINAL PAINS,2016-05-01 00:02:01,NORTH WALES,MAIN ST & E MONTGOMERY AVE,1
40.1430391,-75.0966987,RICH  ; HORSHAM; 2016-01-23 @ 10:20:17;,19090.0,Traffic: DISABLED VEHICLE -,2016-01-23 10:26:02,HORSHAM,RICH,1
